job_uuid,marketplace,acceptor_uuid,requester_uuid,begin_checkpoint.actual_location_hexagon_id9,begin_checkpoint.actual_location_latitude,begin_checkpoint.actual_location_longitude,begin_checkpoint.city_id,begin_checkpoint.ata_utc,fulfillment_job_status
58e20c15-9b2e-4458-ac00-107bcf9564cd,ridesharing,E10111,R2231,89b5443252677be,52.09319,5.17695,3,2023-01-13T23:50:00,completed
e02cff2b-bb4f-4b76-a97a-a2cca9477275,ridesharing,E10152,R2133,89fa132b2821409,51.41972,5.50334,4,2023-02-10T05:13:00,completed
779d0691-f33d-4d00-991b-983d3171e420,ridesharing,E10157,R2534,89df88c01c5d375,52.05469,5.119,3,2023-02-25T18:27:00,completed
b08070cf-4a5f-432f-a04d-4fa35382aa87,ridesharing,E10024,R2265,8923a24a0c47657,51.94535,4.51494,2,2023-02-20T23:58:00,completed
c5479c2b-d878-4986-bc0c-112284e8c495,ridesharing,E10146,R2126,897df7e0ca6a6f7,52.1056,5.13254,3,2023-01-16T18:42:00,completed
4ed97ae5-57ed-4a25-aa6e-bc61d8acc5a0,ridesharing,E10131,R2351,8919eb8c2a35840,52.36298,4.90663,1,2023-04-08T07:54:00,completed
484d0dfe-8c37-4bfd-bd43-ab7a261fcde8,ridesharing,E10037,R2152,89f51aaedc99a91,51.40426,5.44594,4,2023-04-03T10:01:00,completed
4facbc2f-5a3b-438d-aaa1-cf3cc078c18e,ridesharing,E10139,R2204,89789fcc7e414bb,51.95784,4.51581,2,2023-04-13T15:44:00,completed
f83dc1c2-8235-4a8b-abf7-36c95a65c1bc,ridesharing,E10020,R2341,890f5c9b5567ac0,52.38348,4.8606,1,2023-01-17T11:54:00,completed
bde0433b-d549-4519-a9df-8d7cb87c2d48,ridesharing,E10147,R2192,89320e6ff14c88f,51.95763,4.51981,2,2023-01-13T06:37:00,completed
b78e60c3-9ff8-4fe1-8eb2-730f3fcfe08d,ridesharing,E10153,R2573,89b90693526bd48,52.07719,4.28746,5,2023-01-25T23:44:00,completed
2e60b19f-a4d4-49b2-a756-270edffde43d,ridesharing,E10057,R2274,89f496ab23d0ee3,52.04473,4.29302,5,2023-01-02T09:53:00,completed
c6d1c9bb-81a9-48ef-b230-81085d90deb1,ridesharing,E10058,R2095,8944f1370adc963,52.34498,4.84592,1,2023-01-22T08:59:00,completed
2c7fbec6-2f6f-4e99-89dc-c21d795fdb52,ridesharing,E10014,R2214,896000d1a335ea2,52.11078,5.13259,3,2023-03-23T08:48:00,completed
85c4103b-8f34-426f-a222-dc6f3a445318,ridesharing,E10061,R2226,89838ee868889eb,51.48256,5.45089,4,2023-03-05T14:05:00,completed
